number,food_code,thai_name,english_name,scientific_name,Ash (g),Calcium (mg),"Carbohydrate, available (g)","Carbohydrate, total (g)",Cholesterol (mg),Copper (mg),Density (g/mL),Dietary fibre (g),Edible portion (%),"Energy, by calculation (kcal)","Fat, total (g)","Fatty acids, total monounsaturated (g)","Fatty acids, total omega-3 polyunsaturated (g)","Fatty acids, total omega-6 polyunsaturated (g)","Fatty acids, total polyunsaturated (g)","Fatty acids, total saturated (g)",Iron (mg),Magnesium (mg),Moisture (g),Niacin (mg),Phosphorus (mg),Potassium (mg),"Protein, total (g)",Retinol (mcg),Riboflavin (mg),Sodium (mg),"Sugars, total (g)",Thiamin (mg),Total energy - by calculation (kcal),Vitamin A; retinol activity equivalent (mcg),Vitamin C (mg),Zinc (mg),b-carotene (mcg),detail_url
247,T345,"ถั่วปากอ้า, ทอด, อบเกลือ, บรรจุซอง","Broad bean, deepfried, salted, dehulled, industry packed",Vicia faba,3.02,39,32.93,-,-,-,-,11.3,-,489,27.09,-,-,-,-,-,2.87,-,3.1,-,-,-,22.61,-,-,468,1.03,0.23,-,-,-,-,-,"https://inmu.mahidol.ac.th/thaifcd//foodsearch/food_name/?dbcode=STD&food_group_id=84&id=1692&name=Broad bean, deepfried, salted, dehulled, industry packed"
248,T346,"ถั่วลันเตา, เคลือบ, อบกรอบ, รสต่างๆ","Sugar pea, deepfried, coated, crispy baked, different flavours",Pisum sativum,4.17,46,50.77,-,-,-,-,9.5,-,441,17.23,-,-,-,-,-,4.45,-,2.4,-,-,-,15.93,-,0.01,466,6.27,0.54,-,-,-,-,-,"https://inmu.mahidol.ac.th/thaifcd//foodsearch/food_name/?dbcode=STD&food_group_id=84&id=1693&name=Sugar pea, deepfried, coated, crispy baked, different flavours"
249,T347,"ถั่วลิสง, เคลือบน้ำตาล (จาก 3 ตลาด)","Peanut, sugar coated (from 3 markets)",Arachis hypogaea,1.87,36,53.88,-,0,0.00,-,4.3,-,494,23.44,10.25,0.00,5.24,5.29,6.25,2.74,103,1.9,3.91,-,329,14.63,-,0.02,226,43.81,0.44,-,-,-,1.87,-,"https://inmu.mahidol.ac.th/thaifcd//foodsearch/food_name/?dbcode=STD&food_group_id=84&id=1694&name=Peanut, sugar coated (from 3 markets)"
250,T348,"ถั่วลิสง, ทอด. อบเกลือ","Peanut, deep-fried, salted",Arachis hypogaea,3.20,54,5.01,-,-,-,-,11.1,-,630,53.33,-,-,-,-,-,1.40,-,0.3,-,-,-,27.03,-,0.04,293,3.33,0.10,-,-,-,-,-,"https://inmu.mahidol.ac.th/thaifcd//foodsearch/food_name/?dbcode=STD&food_group_id=84&id=1695&name=Peanut, deep-fried, salted"
251,T349,"ถั่วลิสง, ผสมแป้ง, ทอด","Peanut, battered, deep-fried",Arachis hypogaea,3.23,70,34.33,-,0,-,-,5.1,-,559,37.80,11.54,0.07,7.82,7.91,16.44,2.33,-,1.8,-,-,-,17.77,-,-,444,-,-,-,-,-,-,-,"https://inmu.mahidol.ac.th/thaifcd//foodsearch/food_name/?dbcode=STD&food_group_id=84&id=1696&name=Peanut, battered, deep-fried"
252,T350,"ถั่วลิสง, อบ, เคลือบ, รสกะทิ","Peanut, roasted, coconut milk mix coated",Arachis hypogaea,2.35,40,34.80,-,-,-,-,4.8,-,568,38.56,-,-,-,-,-,2.20,-,1.5,-,-,-,18.11,-,0.02,256,9.00,-,-,-,-,-,0,"https://inmu.mahidol.ac.th/thaifcd//foodsearch/food_name/?dbcode=STD&food_group_id=84&id=1697&name=Peanut, roasted, coconut milk mix coated"
253,T351,"ถั่วลิสง, อบน้ำผึ้ง","Peanut, roasted,  honey coated",Arachis hypogaea,3.15,33,13.88,-,-,-,-,12.6,-,586,44.90,-,-,-,-,-,1.60,-,0.3,-,-,-,25.17,-,0.02,315,12.70,0.26,-,-,-,-,0,"https://inmu.mahidol.ac.th/thaifcd//foodsearch/food_name/?dbcode=STD&food_group_id=84&id=1698&name=Peanut, roasted,  honey coated"
254,T353,"ทานตะวัน, เมล็ด, เคลือบช็อคโกแลต","Sunflower seeds, chocolate coated",Helianthus annuus,2.36,53,60.10,-,-,-,-,6.2,-,488,23.23,-,-,-,-,-,2.30,-,1.6,-,-,-,6.54,-,0.12,88,49.32,0.09,-,-,-,-,-,"https://inmu.mahidol.ac.th/thaifcd//foodsearch/food_name/?dbcode=STD&food_group_id=84&id=1699&name=Sunflower seeds, chocolate coated"
255,T352,"ทานตะวัน, เมล็ด, แผ่น","Sunflower, seeds, sugar coated, biscuit",Helianthus annuus,2.30,115,19.30,-,-,-,-,9.8,-,620,49.90,-,-,-,-,-,2.23,-,0.3,-,-,-,18.40,-,0.04,40,15.80,1.30,-,-,-,-,-,"https://inmu.mahidol.ac.th/thaifcd//foodsearch/food_name/?dbcode=STD&food_group_id=84&id=1700&name=Sunflower, seeds, sugar coated, biscuit"
256,T354,"ทานตะวัน, เมล็ด, อบเกลือ","Sunflowers, seeds, salted",Helianthus annuus,3.70,136,8.18,-,0,-,-,12.3,-,615,51.14,19.89,0.14,23.20,23.35,5.29,3.50,-,1.1,-,-,-,24.40,-,0.02,202,8.18,0.89,-,-,-,-,-,"https://inmu.mahidol.ac.th/thaifcd//foodsearch/food_name/?dbcode=STD&food_group_id=84&id=1701&name=Sunflowers, seeds, salted"
257,T355,"ทานตะวัน, เมล็ด, อบน้ำผึ้ง","Sunflower seeds, honey coated",Helianthus annuus,3.60,116,13.70,-,-,-,-,10.6,-,610,49.95,-,-,-,-,-,3.12,-,1.1,-,-,-,21.15,-,0.03,252,12.20,0.88,-,-,-,-,-,"https://inmu.mahidol.ac.th/thaifcd//foodsearch/food_name/?dbcode=STD&food_group_id=84&id=1702&name=Sunflower seeds, honey coated"
258,T356,"ทุเรียน, ทอดอบกรอบ","Durian, crispy fried",Durio zibethinus,3.03,12,57.29,-,-,-,-,5.2,-,508,27.75,-,-,-,-,-,0.70,-,2.1,-,-,-,4.63,-,0.22,46,20.93,0.51,-,-,-,-,-,"https://inmu.mahidol.ac.th/thaifcd//foodsearch/food_name/?dbcode=STD&food_group_id=84&id=1703&name=Durian, crispy fried"
259,T357,"ทุเรียน, อบกรอบ","Durian, crispy, baked",Durio zibethinus,1.80,-,49.40,-,-,-,-,6.4,-,553,36.50,-,-,-,-,-,0.60,-,2.4,-,-,-,3.50,-,0.05,133,6.80,0.28,-,-,-,-,-,"https://inmu.mahidol.ac.th/thaifcd//foodsearch/food_name/?dbcode=STD&food_group_id=84&id=1704&name=Durian, crispy, baked"
260,T358,"นัท, คอกเทล, อบเกลือ","Nuts, mixed, cocktail, salted",-,3.10,111,11.30,-,-,-,-,8.5,-,632,53.40,-,-,-,-,-,3.80,-,1.3,-,-,-,22.40,-,0.02,170,1.50,0.85,-,-,-,-,-,"https://inmu.mahidol.ac.th/thaifcd//foodsearch/food_name/?dbcode=STD&food_group_id=84&id=1705&name=Nuts, mixed, cocktail, salted"
261,T359,"นัท, คอกเทล, อบน้ำผึ้ง","Nuts, mixed, cocktail, roasted with honey",-,2.90,121,29.10,-,-,-,-,7.4,-,606,47.80,-,-,-,-,-,3.70,-,1.6,-,-,-,11.20,-,0.01,186,2.90,0.90,-,-,-,-,-,"https://inmu.mahidol.ac.th/thaifcd//foodsearch/food_name/?dbcode=STD&food_group_id=84&id=1706&name=Nuts, mixed, cocktail, roasted with honey"
262,T363,"ปลา, เส้น, ปรุงรสต่างๆ","Fish, snack, seasoned",-,8.99,54,55.61,-,-,-,-,0.3,-,332,1.54,-,-,-,-,-,2.28,-,9.8,-,-,-,23.75,-,0.02,"1,862",13.85,0.04,-,-,-,-,-,"https://inmu.mahidol.ac.th/thaifcd//foodsearch/food_name/?dbcode=STD&food_group_id=84&id=1707&name=Fish, snack, seasoned"
263,T361,"ปลาแผ่นบด, ปรุงรส, รสต่างๆ","Fish, sheet, seasoned, different flavors",-,8.70,59,56.35,-,32,-,-,2.0,-,317,1.60,0.43,0.01,0.02,0.28,0.77,1.30,-,13.0,-,-,-,18.40,-,-,"2,188",23.50,-,-,-,-,-,-,"https://inmu.mahidol.ac.th/thaifcd//foodsearch/food_name/?dbcode=STD&food_group_id=84&id=1708&name=Fish, sheet, seasoned, different flavors"
264,T362,"ปลาหมึก, เส้น, ปรุงรส","Squid, strip, seasoned",-,7.65,93,-,4.47,771,-,-,-,-,-,3.83,0.43,1.59,0.00,1.59,1.63,1.08,-,21.1,-,-,-,62.96,-,0.07,"1,747",3.10,0.13,304,-,-,-,-,"https://inmu.mahidol.ac.th/thaifcd//foodsearch/food_name/?dbcode=STD&food_group_id=84&id=1709&name=Squid, strip, seasoned"
265,T95,"ปอเปี๊ยะ, กุ้ง","Spring rolls, shrimp",-,1.84,119,21.02,-,-,-,-,2.0,-,160,2.29,-,-,-,-,-,0.65,-,60.1,-,-,-,12.75,-,-,294,1.56,-,-,-,-,-,-,"https://inmu.mahidol.ac.th/thaifcd//foodsearch/food_name/?dbcode=STD&food_group_id=84&id=1710&name=Spring rolls, shrimp"
266,T166,ปอเปี๊ยะสด,"Spring roll, non-fried",-,-,-,24.13,-,-,-,-,1.7,-,170,5.57,-,-,-,-,-,-,-,63.6,-,-,-,4.99,-,-,375,-,-,-,-,-,-,-,"https://inmu.mahidol.ac.th/thaifcd//foodsearch/food_name/?dbcode=STD&food_group_id=84&id=1711&name=Spring roll, non-fried"
267,T156,ปาท่องโก๋,Pa-tong-ko (Deep-fried doughstick),-,1.80,-,46.28,-,0,-,-,0.9,-,436,25.67,9.77,-,-,3.44,11.14,-,-,21.0,-,-,-,4.38,-,-,-,-,-,-,-,-,-,-,https://inmu.mahidol.ac.th/thaifcd//foodsearch/food_name/?dbcode=STD&food_group_id=84&id=1712&name=Pa-tong-ko (Deep-fried doughstick)
268,T360,"ปาท่องโก๋ซาลาเปา, ทอด","Pa-tong-ko-salapao (Chinese bun, dough, deep-fried)",-,0.76,14,43.95,-,-,0.07,-,4.2,-,396,20.63,-,-,-,-,-,0.62,21,24.0,-,82,75,6.50,-,-,236,8.17,-,-,-,-,0.39,-,"https://inmu.mahidol.ac.th/thaifcd//foodsearch/food_name/?dbcode=STD&food_group_id=84&id=1713&name=Pa-tong-ko-salapao (Chinese bun, dough, deep-fried)"
269,T266,เผือกฉาบ,Sweet taro crisps,-,3.35,65,54.88,-,0,-,-,6.3,-,495,27.37,2.55,0.00,0.69,0.69,22.91,1.90,-,3.9,-,-,-,4.20,-,-,234,0.97,-,-,-,-,-,-,https://inmu.mahidol.ac.th/thaifcd//foodsearch/food_name/?dbcode=STD&food_group_id=84&id=1714&name=Sweet taro crisps
270,T365,เผือกชุบแป้งทอด,"Taro, batter-fried",-,1.60,28,36.42,-,-,0.21,-,3.6,-,281,12.40,-,-,-,-,-,0.71,39,41.8,0.36,130,468,4.20,-,0.02,195,10.99,0.09,-,-,-,1.41,-,"https://inmu.mahidol.ac.th/thaifcd//foodsearch/food_name/?dbcode=STD&food_group_id=84&id=1715&name=Taro, batter-fried"
271,T366,พายกรอบ,"Pie, crispy",-,1.95,25,48.60,-,-,-,-,3.0,-,564,36.35,-,-,-,-,-,0.70,-,1.1,-,-,-,9.05,13,0.06,442,14.30,0.19,-,13,-,-,-,"https://inmu.mahidol.ac.th/thaifcd//foodsearch/food_name/?dbcode=STD&food_group_id=84&id=1716&name=Pie, crispy"
272,T367,"พิชตาชิโอ, อบเกลือ","Pistachio nut, shelled,  roasted, salted",Pistacia vera,4.71,122,10.99,-,-,-,-,8.0,-,631,54.44,-,-,-,-,-,2.06,-,1.7,-,-,-,20.17,-,0.17,501,7.04,0.37,-,-,-,-,-,"https://inmu.mahidol.ac.th/thaifcd//foodsearch/food_name/?dbcode=STD&food_group_id=84&id=1717&name=Pistachio nut, shelled,  roasted, salted"
273,T267,ฟักทองฉาบ,Sweet pumpkin crisps,-,2.65,30,48.35,-,0,-,-,7.4,-,526,33.05,8.21,0.28,2.81,3.10,19.64,2.50,-,3.4,-,-,-,5.20,-,-,184,17.70,-,-,259,-,-,"3,106",https://inmu.mahidol.ac.th/thaifcd//foodsearch/food_name/?dbcode=STD&food_group_id=84&id=1718&name=Sweet pumpkin crisps
274,T270,"มะตะบะ, ไส้กล้วย","Murtabak, banana",-,0.90,-,-,30.13,95,-,-,-,-,-,10.63,3.71,0.06,1.09,1.16,5.31,1.03,-,53.1,-,-,-,5.27,-,-,126,-,-,237,-,-,-,-,"https://inmu.mahidol.ac.th/thaifcd//foodsearch/food_name/?dbcode=STD&food_group_id=84&id=1719&name=Murtabak, banana"
275,T268,"มะตะบะ, ไส้ไก่","Murtabak, chicken",-,2.30,-,-,30.13,78,-,-,-,-,-,11.50,3.45,0.26,2.43,2.70,4.84,1.43,-,46.1,-,-,-,10.00,-,-,493,-,-,264,-,-,-,-,"https://inmu.mahidol.ac.th/thaifcd//foodsearch/food_name/?dbcode=STD&food_group_id=84&id=1720&name=Murtabak, chicken"
276,T269,"มะตะบะ, ไส้เนื้อ","Murtabak, beef",-,2.30,-,-,28.73,63,-,-,-,-,-,13.80,3.45,0.19,2.33,2.52,5.48,1.60,-,44.8,-,-,-,10.40,-,-,467,-,-,281,-,-,-,-,"https://inmu.mahidol.ac.th/thaifcd//foodsearch/food_name/?dbcode=STD&food_group_id=84&id=1721&name=Murtabak, beef"
277,T271,"มะตะบะ, ไส้ผลไม้รวม","Murtabak, mixed fruits",-,1.67,-,-,43.37,46,-,-,-,-,-,6.57,2.38,0.05,0.83,0.88,3.03,1.00,-,42.9,-,-,-,5.53,-,-,316,-,-,255,-,-,-,-,"https://inmu.mahidol.ac.th/thaifcd//foodsearch/food_name/?dbcode=STD&food_group_id=84&id=1722&name=Murtabak, mixed fruits"
278,T368,"มะม่วงหิมพานต์, เมล็ด, อบเกลือ","Catshew nut, shelled, salted, canned",Anacardium occidentale,2.88,38,23.56,-,-,-,-,4.3,-,613,47.55,-,-,-,-,-,0.59,-,1.1,-,-,-,20.60,-,0.05,300,4.01,0.28,-,-,-,-,-,"https://inmu.mahidol.ac.th/thaifcd//foodsearch/food_name/?dbcode=STD&food_group_id=84&id=1723&name=Catshew nut, shelled, salted, canned"
279,T369,"มะม่วงหิมพานต์, เมล็ด, อบเนย","Catshew nut, shelled, roasted with butter",Anacardium occidentale,2.60,32,23.90,-,-,-,-,5.1,-,609,47.30,-,-,-,-,-,-,-,1.8,1.10,453,-,19.30,-,0.18,-,-,0.46,-,0,0,-,0,"https://inmu.mahidol.ac.th/thaifcd//foodsearch/food_name/?dbcode=STD&food_group_id=84&id=1724&name=Catshew nut, shelled, roasted with butter"
280,T374,มันเทศชุบแป้งทอด,"Sweet potato, batter-fried",Ipomoea batatas,1.15,42,36.16,-,-,0.16,-,3.4,-,279,12.92,-,-,-,-,-,0.53,27,43.5,0.52,99,249,2.84,-,0.02,190,13.61,0.04,-,-,-,0.77,-,"https://inmu.mahidol.ac.th/thaifcd//foodsearch/food_name/?dbcode=STD&food_group_id=84&id=1725&name=Sweet potato, batter-fried"
281,T375,"มันฝรั่ง, ทอดกรอบ, รสต่างๆ","Potato chip, fried, mixed flavours",Solanum tuberosum,3.21,20,55.16,-,0,-,-,3.5,-,530,31.15,12.83,-,-,1.67,13.20,1.17,-,1.5,-,-,-,5.54,-,0.03,445,1.78,0.14,-,-,-,-,-,"https://inmu.mahidol.ac.th/thaifcd//foodsearch/food_name/?dbcode=STD&food_group_id=84&id=1726&name=Potato chip, fried, mixed flavours"
282,T376,"มันฝรั่ง, ทอดกรอบ, รสธรรมชาติ","Potato chip, fried, original",Solanum tuberosum,4.10,19,49.37,-,0,-,-,4.2,-,534,33.50,-,-,-,-,13.30,1.18,-,2.0,-,-,-,6.80,-,0.09,411,0.60,0.19,-,-,-,-,-,"https://inmu.mahidol.ac.th/thaifcd//foodsearch/food_name/?dbcode=STD&food_group_id=84&id=1727&name=Potato chip, fried, original"
283,T377,"มันฝรั่ง, อบกรอบ, รสต่างๆ","Potato chip, baked, mixed flavours",Solanum tuberosum,4.30,-,63.43,-,-,-,-,3.2,-,460,19.90,-,-,-,-,-,1.24,-,4.0,-,-,-,5.20,-,0.08,826,1.57,0.14,-,-,-,-,-,"https://inmu.mahidol.ac.th/thaifcd//foodsearch/food_name/?dbcode=STD&food_group_id=84&id=1728&name=Potato chip, baked, mixed flavours"
284,T378,"มันสำปะหลัง, ปั้นกลม, ปิ้ง","Cassava, ball, baked",-,1.52,-,-,48.13,-,-,-,-,-,-,3.94,-,-,-,-,-,-,-,45.7,-,-,-,0.77,-,-,134,16.09,-,231,-,-,-,-,"https://inmu.mahidol.ac.th/thaifcd//foodsearch/food_name/?dbcode=STD&food_group_id=84&id=1729&name=Cassava, ball, baked"
285,T272,เมี่ยงคำใต้,Miang kham (leaf wrapped bites),-,1.98,122,29.52,-,-,-,-,7.4,-,274,13.26,-,-,-,-,-,-,-,42.5,-,-,-,5.42,-,-,333,20.62,-,-,-,2,-,-,https://inmu.mahidol.ac.th/thaifcd//foodsearch/food_name/?dbcode=STD&food_group_id=84&id=1730&name=Miang kham (leaf wrapped bites)
286,T370,"แมคคาเดเมียนัท, ผสมสมุนไพร, ดอยตุง","Macadamia, roasted,with herbs, Doi Tung product",Macadamia integrifolia,2.30,66,7.90,-,-,-,-,9.7,-,715,69.60,-,-,-,-,-,2.00,-,1.0,-,-,-,9.50,-,0.03,192,1.30,0.36,-,-,2,-,-,"https://inmu.mahidol.ac.th/thaifcd//foodsearch/food_name/?dbcode=STD&food_group_id=84&id=1731&name=Macadamia, roasted,with herbs, Doi Tung product"
287,T371,"แมคคาเดเมียนัท, อบ, ปรุงรสต่างๆ","Macadamia, roasted, different flavours",Macadamia integrifolia,1.90,50,10.23,-,-,-,-,5.3,-,746,73.43,-,-,-,-,-,2.07,-,0.6,-,-,-,8.47,-,0.01,193,3.20,1.22,-,-,-,-,-,"https://inmu.mahidol.ac.th/thaifcd//foodsearch/food_name/?dbcode=STD&food_group_id=84&id=1732&name=Macadamia, roasted, different flavours"
288,T372,"แมคคาเดเมียนัท, อบ, ปรุงรสน้ำผึ้ง, ดอยตุง","Macadamia, roasted, honey flavour, Doi Tung product",Macadamia integrifolia,1.10,39,17.50,-,-,-,-,7.2,-,704,65.40,-,-,-,-,-,2.20,-,1.0,-,-,-,7.80,-,0.02,35,15.30,0.55,-,-,-,-,-,"https://inmu.mahidol.ac.th/thaifcd//foodsearch/food_name/?dbcode=STD&food_group_id=84&id=1733&name=Macadamia, roasted, honey flavour, Doi Tung product"
289,T373,"แมคคาเดเมียนัท, อบเกลือ","Macadamia, roasted, salted",Macadamia integrifolia,2.20,46,3.52,-,-,-,-,9.1,-,748,75.48,-,-,-,-,-,2.15,-,0.7,-,-,-,9.05,-,0.02,229,3.00,0.70,-,-,-,-,-,"https://inmu.mahidol.ac.th/thaifcd//foodsearch/food_name/?dbcode=STD&food_group_id=84&id=1734&name=Macadamia, roasted, salted"
290,T379,"อัลมอนด์, อบเกลือ","Almond, roasted, salted",Prunus dulcis,4.00,299,4.80,-,-,-,-,10.9,-,627,53.60,-,-,-,-,-,2.90,-,0.9,-,-,-,25.80,-,-,229,3.20,-,-,-,-,-,-,"https://inmu.mahidol.ac.th/thaifcd//foodsearch/food_name/?dbcode=STD&food_group_id=84&id=1735&name=Almond, roasted, salted"
291,T380,"ขนมปังกรอบ, รสต่างๆ (ซุปไก่ ผัก หัวหอม)","Bread, crispy, mixed flavours",-,2.10,27,67.84,-,-,-,-,2.7,-,474,18.85,-,-,-,-,-,0.85,-,1.7,-,-,-,6.80,-,0.09,475,17.65,0.14,-,0,-,-,0,"https://inmu.mahidol.ac.th/thaifcd//foodsearch/food_name/?dbcode=STD&food_group_id=84&id=1736&name=Bread, crispy, mixed flavours"
292,T381,"ขนมปังขาไก่, รสต่างๆ","Breadstick, mixed flavours",-,3.01,37,67.23,-,-,-,-,3.0,-,456,16.07,-,-,-,-,8.37,0.89,-,1.5,-,-,-,9.15,-,0.09,595,6.58,0.62,-,-,-,-,-,"https://inmu.mahidol.ac.th/thaifcd//foodsearch/food_name/?dbcode=STD&food_group_id=84&id=1737&name=Breadstick, mixed flavours"
293,T382,ขนมปังชีสเชคไส้สับปะรด,"Cheese shake biscuit, sandwiched with preserved pineapple",-,1.45,94,59.77,-,-,-,-,22.0,-,347,4.95,-,-,-,-,-,0.70,-,7.1,-,-,-,4.75,26,0.04,334,39.50,0.11,-,26,-,-,-,"https://inmu.mahidol.ac.th/thaifcd//foodsearch/food_name/?dbcode=STD&food_group_id=84&id=1738&name=Cheese shake biscuit, sandwiched with preserved pineapple"
294,T383,ขนมปังแซนวิช,"Bread, sandwich",-,1.56,49,43.97,-,-,-,-,4.1,100.000,290,6.89,1.64,0.03,0.02,0.84,3.34,0.87,-,32.6,-,-,-,10.94,-,0.03,353,3.21,0.15,-,0,-,-,-,"https://inmu.mahidol.ac.th/thaifcd//foodsearch/food_name/?dbcode=STD&food_group_id=84&id=1739&name=Bread, sandwich"
295,T384,ขนมปังนมสด,Milk bun,-,2.50,193,47.06,-,-,-,-,3.1,100.000,279,4.54,1.04,0.02,0.51,0.53,2.33,1.20,-,31.8,1.30,-,-,11.00,-,0.08,413,6.70,0.04,-,14,-,-,-,https://inmu.mahidol.ac.th/thaifcd//foodsearch/food_name/?dbcode=STD&food_group_id=84&id=1740&name=Milk bun
296,T385,ขนมปังหวาน,Sweetened Bun,-,1.97,32,51.73,-,-,0.12,-,1.9,100.000,313,7.17,1.89,0.03,0.75,0.78,3.54,0.73,-,27.8,-,-,-,9.43,-,-,409,-,-,-,-,-,0.77,-,https://inmu.mahidol.ac.th/thaifcd//foodsearch/food_name/?dbcode=STD&food_group_id=84&id=1741&name=Sweetened Bun
297,T386,ขนมปังโฮลวีท,"Bread, whole wheat",-,1.98,83,41.29,-,-,-,-,5.9,100.000,273,5.38,-,-,-,-,-,1.87,41,33.5,2.64,-,137,11.88,-,0.23,415,7.20,0.21,-,0,-,-,0,"https://inmu.mahidol.ac.th/thaifcd//foodsearch/food_name/?dbcode=STD&food_group_id=84&id=1742&name=Bread, whole wheat"
298,T387,ขนมเวเฟอร์สอดไส้ครีม,"Wafer, sandwiched with layers of cream",-,1.05,46,63.65,-,-,-,-,1.4,100.000,521,27.05,-,-,-,-,-,0.90,-,1.8,-,-,-,5.15,-,0.05,183,27.05,0.28,-,0,-,-,0,"https://inmu.mahidol.ac.th/thaifcd//foodsearch/food_name/?dbcode=STD&food_group_id=84&id=1743&name=Wafer, sandwiched with layers of cream"
299,T388,"คุกกี้, บัตเตอร์ & ชีส, รสกาแฟ,วานิลลา","Cookies, butter & cheese, coffee, vanila flavours",-,2.10,59,59.20,-,-,-,-,2.3,100.000,515,27.50,10.18,0.08,1.46,1.54,14.55,1.65,-,2.5,-,-,-,6.45,-,0.08,426,34.55,0.41,-,218,-,-,-,"https://inmu.mahidol.ac.th/thaifcd//foodsearch/food_name/?dbcode=STD&food_group_id=84&id=1744&name=Cookies, butter & cheese, coffee, vanila flavours"
300,T389,"คุกกี้, ผสมช็อคโกแลตชิฟ","Cookies, chocolate chip",-,1.25,25,67.67,-,-,-,-,0.9,100.000,500,22.45,-,-,-,-,17.42,1.08,-,1.4,-,-,-,6.37,-,0.06,307,27.62,0.13,-,6,-,-,-,"https://inmu.mahidol.ac.th/thaifcd//foodsearch/food_name/?dbcode=STD&food_group_id=84&id=1745&name=Cookies, chocolate chip"
301,T390,"คุ้กกี้, รสเนย","Cookies, butter flavoured",-,1.18,25,59.15,-,-,-,-,2.5,100.000,524,27.90,8.03,0.10,0.10,1.33,16.38,0.81,-,1.4,10.32,-,-,7.84,-,0.42,305,25.06,0.42,-,175,23,-,0,"https://inmu.mahidol.ac.th/thaifcd//foodsearch/food_name/?dbcode=STD&food_group_id=84&id=1746&name=Cookies, butter flavoured"
302,T391,"คุกกี้, สิงคโปร์","Cookies, Singapore",-,1.50,14,59.40,-,-,-,-,2.4,100.000,502,25.77,-,-,-,-,12.52,1.40,-,4.0,-,-,-,6.91,-,0.01,288,17.95,0.19,-,-,-,-,-,"https://inmu.mahidol.ac.th/thaifcd//foodsearch/food_name/?dbcode=STD&food_group_id=84&id=1747&name=Cookies, Singapore"
303,T392,"เค้ก, ชิฟฟอน, รสกาแฟและใบเตย","Cake, chiffon, coffee, pandan flavours",-,1.35,22,33.35,-,-,-,-,2.2,100.000,409,28.10,-,-,-,-,13.19,0.50,-,30.5,-,-,-,4.55,-,0.12,140,25.50,0.02,-,188,0,-,-,"https://inmu.mahidol.ac.th/thaifcd//foodsearch/food_name/?dbcode=STD&food_group_id=84&id=1748&name=Cake, chiffon, coffee, pandan flavours"
304,T393,"เค้ก, เนย","Cake, butter",-,1.45,-,36.32,-,-,-,-,0.0,100.000,393,24.27,6.55,0.07,-,1.39,14.66,-,-,30.6,-,-,-,7.34,-,-,-,19.10,0.05,-,-,1,-,-,"https://inmu.mahidol.ac.th/thaifcd//foodsearch/food_name/?dbcode=STD&food_group_id=84&id=1749&name=Cake, butter"
305,T394,วาฟเฟิล,Waffle,-,1.43,-,-,45.23,-,-,-,-,-,-,20.34,-,-,-,-,-,-,-,25.0,-,-,-,8.00,60,-,244,17.26,-,396,60,-,-,-,https://inmu.mahidol.ac.th/thaifcd//foodsearch/food_name/?dbcode=STD&food_group_id=84&id=1750&name=Waffle
306,T219,น้ำพริก (สำหรับขนมจีน),Peanut curry sauce for fermented rice noodles (Nam-prik),-,3.00,-,20.77,-,2,-,-,1.5,-,270,18.53,5.04,0.29,6.27,6.56,6.13,-,-,52.0,-,-,374,4.23,-,-,445,12.90,-,-,-,-,-,-,https://inmu.mahidol.ac.th/thaifcd//foodsearch/food_name/?dbcode=STD&food_group_id=84&id=1751&name=Peanut curry sauce for fermented rice noodles (Nam-prik)
307,T218,น้ำยา,Curry sauce for fermented rice noodles (Nam-ya),-,3.24,30,3.62,-,7,-,-,1.6,-,137,11.42,3.58,0.08,3.24,3.32,4.05,3.10,-,75.9,-,-,358,4.24,-,0.05,532,2.44,-,-,-,-,-,-,https://inmu.mahidol.ac.th/thaifcd//foodsearch/food_name/?dbcode=STD&food_group_id=84&id=1752&name=Curry sauce for fermented rice noodles (Nam-ya)
308,T221,ปลาแนม,"Pla-nam ( Fish, shredded, mixed with slices of pork skin)",-,1.63,-,48.13,-,-,-,-,0.0,-,227,1.37,-,-,-,-,-,0.40,-,43.3,-,-,-,5.53,-,-,333,-,-,-,-,-,-,-,"https://inmu.mahidol.ac.th/thaifcd//foodsearch/food_name/?dbcode=STD&food_group_id=84&id=1753&name=Pla-nam ( Fish, shredded, mixed with slices of pork skin)"
309,T395,สปาเก็ตตี้ซอส รสต่างๆ,"Spaghetti sauce,  different flavours",-,2.52,14,9.12,-,-,-,-,1.9,-,102,4.97,-,-,-,-,-,0.35,-,77.3,-,-,-,4.25,-,-,656,9.72,-,-,-,-,-,-,"https://inmu.mahidol.ac.th/thaifcd//foodsearch/food_name/?dbcode=STD&food_group_id=84&id=1754&name=Spaghetti sauce,  different flavours"
310,T232,ไส้กรอก (กินกับปลาแนม),"Sausages, traditional Thai style",-,2.80,-,-,22.27,-,-,-,-,-,-,31.10,-,-,-,-,-,1.90,-,23.3,-,-,-,20.50,-,-,456,-,-,451,-,-,-,-,"https://inmu.mahidol.ac.th/thaifcd//foodsearch/food_name/?dbcode=STD&food_group_id=84&id=1755&name=Sausages, traditional Thai style"
